thread, tp, tMPI, t_tot
1,77.01753544807434,11.55333495140075,88.5874831676483
2,39.92824554443359,12.86628627777099,52.8112025260925
4,20.61007261276245,13.03828358650207,33.6653475761413
8,19.19526314735412,16.36505699157715,35.5772066116333
